country,Code,Year,life_expectancy,gdp_per_capita,Population (historical),World regions according to OWID,time,time,time,time
Afghanistan,AFG,2023,66.035,1992.4244,41454709,Asia,2023,2023,2023,2023
Albania,ALB,2023,79.602,18244.293,2811615,Europe,2023,2023,2023,2023
Algeria,DZA,2023,76.261,15159.324,46164169,Africa,2023,2023,2023,2023
Andorra,AND,2023,84.041,64631.297,80825,Europe,2023,2023,2023,2023
Angola,AGO,2023,64.617,7244.893,36749852,Africa,2023,2023,2023,2023
Antigua and Barbuda,ATG,2023,77.598,28967.256,93293,North America,2023,2023,2023,2023
Argentina,ARG,2023,77.395,27104.98,45538356,South America,2023,2023,2023,2023
Armenia,ARM,2023,75.683,19230.19,2943346,Asia,2023,2023,2023,2023
Aruba,ABW,2023,76.353,40516.81,107904,North America,2023,2023,2023,2023
Australia,AUS,2023,83.923,59552.88,26451074,Oceania,2023,2023,2023,2023
Austria,AUT,2023,81.956,65015.133,9130386,Europe,2023,2023,2023,2023
Azerbaijan,AZE,2023,74.429,21262.299,10318161,Asia,2023,2023,2023,2023
Bahamas,BHS,2023,74.552,33105.605,399410,North America,2023,2023,2023,2023
Bahrain,BHR,2023,81.284,57213.09,1569625,Asia,2023,2023,2023,2023
Bangladesh,BGD,2023,74.672,8242.398,171466945,Asia,2023,2023,2023,2023
Barbados,BRB,2023,76.178,19224.463,282302,North America,2023,2023,2023,2023
Belarus,BLR,2023,74.434,27718.322,9115626,Europe,2023,2023,2023,2023
Belgium,BEL,2023,82.115,64185.848,11712836,Europe,2023,2023,2023,2023
Belize,BLZ,2023,73.566,12455.296,411073,North America,2023,2023,2023,2023
Benin,BEN,2023,60.774,3721.2246,14110987,Africa,2023,2023,2023,2023
Bermuda,BMU,2023,82.309,98041.69,64676,North America,2023,2023,2023,2023
Bolivia,BOL,2023,68.581,9843.97,12244104,South America,2023,2023,2023,2023
Bosnia and Herzegovina,BIH,2023,77.85,20126.38,3185033,Europe,2023,2023,2023,2023
Botswana,BWA,2023,69.163,18846.25,2480185,Africa,2023,2023,2023,2023
Brazil,BRA,2023,75.848,19018.238,211140678,South America,2023,2023,2023,2023
Brunei,BRN,2023,75.327,76828.4,458910,Asia,2023,2023,2023,2023
Bulgaria,BGR,2023,75.636,33403.375,6795757,Europe,2023,2023,2023,2023
Burkina Faso,BFA,2023,61.092,2482.0723,23025738,Africa,2023,2023,2023,2023
Burundi,BDI,2023,63.651,828.8611,13689406,Africa,2023,2023,2023,2023
Cambodia,KHM,2023,70.668,6690.5894,17423835,Asia,2023,2023,2023,2023
Cameroon,CMR,2023,63.7,4870.571,28372638,Africa,2023,2023,2023,2023
Canada,CAN,2023,82.63,55918.93,39299053,North America,2023,2023,2023,2023
Cape Verde,CPV,2023,76.059,9288.402,522290,Africa,2023,2023,2023,2023
Cayman Islands,CYM,2023,80.358,78109.35,73009,North America,2023,2023,2023,2023
Central African Republic,CAF,2023,57.408,1135.1362,5152373,Africa,2023,2023,2023,2023
Chad,TCD,2023,55.069,1679.4615,19319025,Africa,2023,2023,2023,2023
Chile,CHL,2023,81.167,29462.64,19658791,South America,2023,2023,2023,2023
China,CHN,2023,77.953,22137.6,1422584878,Asia,2023,2023,2023,2023
Colombia,COL,2023,77.725,18692.385,52321104,South America,2023,2023,2023,2023
Comoros,COM,2023,66.777,3498.8032,850335,Africa,2023,2023,2023,2023
Congo,COG,2023,65.772,6172.2876,6182830,Africa,2023,2023,2023,2023
Costa Rica,CRI,2023,80.799,26292.771,5105469,North America,2023,2023,2023,2023
Cote d'Ivoire,CIV,2023,61.944,6485.316,31165592,Africa,2023,2023,2023,2023
Croatia,HRV,2023,78.58,41116.87,3895973,Europe,2023,2023,2023,2023
Curacao,CUW,2023,76.8,28886.688,185383,North America,2023,2023,2023,2023
Cyprus,CYP,2023,81.648,53420.684,1344937,Europe,2023,2023,2023,2023
Czechia,CZE,2023,79.834,49681.06,10809674,Europe,2023,2023,2023,2023
Democratic Republic of Congo,COD,2023,61.895,1455.8356,105789681,Africa,2023,2023,2023,2023
Denmark,DNK,2023,81.933,72097.305,5948078,Europe,2023,2023,2023,2023
Djibouti,DJI,2023,65.987,6400.62,1152912,Africa,2023,2023,2023,2023
Dominica,DMA,2023,71.132,17420.252,66478,North America,2023,2023,2023,2023
Dominican Republic,DOM,2023,73.72,23087.934,11331213,North America,2023,2023,2023,2023
East Timor,TLS,2023,67.689,4328.508,1384234,Asia,2023,2023,2023,2023
Ecuador,ECU,2023,77.392,14472.316,17980034,South America,2023,2023,2023,2023
Egypt,EGY,2023,71.633,16691.133,114535724,Africa,2023,2023,2023,2023
El Salvador,SLV,2023,72.099,11404.334,6309575,North America,2023,2023,2023,2023
Equatorial Guinea,GNQ,2023,63.707,15688.238,1847501,Africa,2023,2023,2023,2023
Estonia,EST,2023,79.153,42471.824,1367143,Europe,2023,2023,2023,2023
Eswatini,SWZ,2023,64.123,10132.1875,1230457,Africa,2023,2023,2023,2023
Ethiopia,ETH,2023,67.315,2755.457,128691654,Africa,2023,2023,2023,2023
Fiji,FJI,2023,67.316,13652.491,924114,Oceania,2023,2023,2023,2023
Finland,FIN,2023,81.91,57063.523,5601133,Europe,2023,2023,2023,2023
France,FRA,2023,83.325,55441.188,66438774,Europe,2023,2023,2023,2023
Gabon,GAB,2023,68.337,18702.691,2484739,Africa,2023,2023,2023,2023
Gambia,GMB,2023,65.86,2932.2805,2697797,Africa,2023,2023,2023,2023
Georgia,GEO,2023,74.496,22590.53,3807436,Asia,2023,2023,2023,2023
Germany,DEU,2023,81.378,63578.14,84548184,Europe,2023,2023,2023,2023
Ghana,GHA,2023,65.498,6796.4736,33787870,Africa,2023,2023,2023,2023
Greece,GRC,2023,81.857,36905.453,10242850,Europe,2023,2023,2023,2023
Grenada,GRD,2023,75.205,16946.473,117047,North America,2023,2023,2023,2023
Guatemala,GTM,2023,72.602,12389.386,18124791,North America,2023,2023,2023,2023
Guinea,GIN,2023,60.74,3949.34,14405424,Africa,2023,2023,2023,2023
Guinea-Bissau,GNB,2023,64.085,2578.8044,2153292,Africa,2023,2023,2023,2023
Guyana,GUY,2023,70.18,49315.16,826310,South America,2023,2023,2023,2023
Haiti,HTI,2023,64.936,2956.4622,11637352,North America,2023,2023,2023,2023
Honduras,HND,2023,72.884,6468.302,10644802,North America,2023,2023,2023,2023
Hong Kong,HKG,2023,85.511,64467.574,7442686,Asia,2023,2023,2023,2023
Hungary,HUN,2023,77.024,40543.992,9686418,Europe,2023,2023,2023,2023
Iceland,ISL,2023,82.691,67255.67,387522,Europe,2023,2023,2023,2023
India,IND,2023,72.003,9160.063,1438069540,Asia,2023,2023,2023,2023
Indonesia,IDN,2023,71.146,13889.883,281190021,Asia,2023,2023,2023,2023
Iran,IRN,2023,77.654,15912.03,90608663,Asia,2023,2023,2023,2023
Iraq,IRQ,2023,72.324,12711.062,45074010,Asia,2023,2023,2023,2023
Ireland,IRL,2023,82.412,114922.39,5196586,Europe,2023,2023,2023,2023
Israel,ISR,2023,82.408,48432.11,9256261,Asia,2023,2023,2023,2023
Italy,ITA,2023,83.716,53312.07,59499408,Europe,2023,2023,2023,2023
Jamaica,JAM,2023,71.479,10291.3125,2839729,North America,2023,2023,2023,2023
Japan,JPN,2023,84.712,46157.637,124370893,Asia,2023,2023,2023,2023
Jordan,JOR,2023,77.814,9362.588,11439171,Asia,2023,2023,2023,2023
Kazakhstan,KAZ,2023,74.402,34703.234,20330063,Asia,2023,2023,2023,2023
Kenya,KEN,2023,63.646,5682.9893,55338953,Africa,2023,2023,2023,2023
Kiribati,KIR,2023,66.473,3195.8704,132494,Oceania,2023,2023,2023,2023
Kosovo,OWID_KOS,2023,78.033,13642.677,1699985,Europe,2023,2023,2023,2023
Kuwait,KWT,2023,80.405,46458.2,4838724,Asia,2023,2023,2023,2023
Kyrgyzstan,KGZ,2023,71.677,6403.143,7073476,Asia,2023,2023,2023,2023
Laos,LAO,2023,68.964,8372.156,7664955,Asia,2023,2023,2023,2023
Latvia,LVA,2023,76.19,37007.367,1882336,Europe,2023,2023,2023,2023
Lesotho,LSO,2023,57.375,2595.8296,2311429,Africa,2023,2023,2023,2023
Liberia,LBR,2023,62.163,1616.9237,5492981,Africa,2023,2023,2023,2023
Libya,LBY,2023,69.339,12478.144,7305611,Africa,2023,2023,2023,2023
Lithuania,LTU,2023,76.025,46740.41,2854061,Europe,2023,2023,2023,2023
Luxembourg,LUX,2023,82.229,132846.58,665058,Europe,2023,2023,2023,2023
Macao,MAC,2023,83.075,104961.64,713868,Asia,2023,2023,2023,2023
Madagascar,MDG,2023,63.632,1643.3093,31195885,Africa,2023,2023,2023,2023
Malawi,MWI,2023,67.353,1648.4365,21104426,Africa,2023,2023,2023,2023
Malaysia,MYS,2023,76.657,32812.3,35126249,Asia,2023,2023,2023,2023
Maldives,MDV,2023,81.041,22286.98,525955,Asia,2023,2023,2023,2023
Mali,MLI,2023,60.439,2394.672,23769081,Africa,2023,2023,2023,2023
Malta,MLT,2023,83.299,61125.71,532921,Europe,2023,2023,2023,2023
Marshall Islands,MHL,2023,66.945,6786.696,38803,Oceania,2023,2023,2023,2023
Mauritania,MRT,2023,68.484,6258.711,5022397,Africa,2023,2023,2023,2023
Mauritius,MUS,2023,74.926,26590.424,1273543,Africa,2023,2023,2023,2023
Mexico,MEX,2023,75.069,22142.607,129739713,North America,2023,2023,2023,2023
Micronesia (country),FSM,2023,67.198,3886.6965,112602,Oceania,2023,2023,2023,2023
Moldova,MDA,2023,71.198,15855.273,3067017,Europe,2023,2023,2023,2023
Mongolia,MNG,2023,71.734,16222.864,3431887,Asia,2023,2023,2023,2023
Montenegro,MNE,2023,77.087,27869.65,633503,Europe,2023,2023,2023,2023
Morocco,MAR,2023,75.313,8868.712,37712463,Africa,2023,2023,2023,2023
Mozambique,MOZ,2023,63.611,1511.6365,33635119,Africa,2023,2023,2023,2023
Myanmar,MMR,2023,66.889,5364.138,54133741,Asia,2023,2023,2023,2023
Namibia,NAM,2023,67.385,10105.515,2963048,Africa,2023,2023,2023,2023
Nauru,NRU,2023,62.109,12462.841,11850,Oceania,2023,2023,2023,2023
Nepal,NPL,2023,70.354,4859.8003,29694568,Asia,2023,2023,2023,2023
Netherlands,NLD,2023,82.158,71446.695,18092473,Europe,2023,2023,2023,2023
New Zealand,NZL,2023,82.088,48826.574,5172791,Oceania,2023,2023,2023,2023
Nicaragua,NIC,2023,74.947,7486.943,6823569,North America,2023,2023,2023,2023
Niger,NER,2023,61.183,1703.397,26159817,Africa,2023,2023,2023,2023
Nigeria,NGA,2023,54.462,5593.0566,227882899,Africa,2023,2023,2023,2023
North Macedonia,MKD,2023,77.395,23584.564,1831749,Europe,2023,2023,2023,2023
Norway,NOR,2023,83.308,90469.81,5519123,Europe,2023,2023,2023,2023
Oman,OMN,2023,80.031,38311.418,5049214,Asia,2023,2023,2023,2023
Pakistan,PAK,2023,67.649,5439.1875,247504458,Asia,2023,2023,2023,2023
Palau,PLW,2023,69.269,15796.54,17707,Oceania,2023,2023,2023,2023
Palestine,PSE,2023,65.17,5313.098,5409153,Asia,2023,2023,2023,2023
Panama,PAN,2023,79.594,35863.88,4458719,North America,2023,2023,2023,2023
Papua New Guinea,PNG,2023,66.134,4174.4414,10389589,Oceania,2023,2023,2023,2023
Paraguay,PRY,2023,73.844,15783.115,6844101,South America,2023,2023,2023,2023
Peru,PER,2023,77.74,15294.257,33845565,South America,2023,2023,2023,2023
Philippines,PHL,2023,69.833,9901.057,114891152,Asia,2023,2023,2023,2023
Poland,POL,2023,78.633,44384.168,38762796,Europe,2023,2023,2023,2023
Portugal,PRT,2023,82.36,41755.48,10430680,Europe,2023,2023,2023,2023
Puerto Rico,PRI,2023,81.69,42994.785,3241974,North America,2023,2023,2023,2023
Qatar,QAT,2023,82.368,116159.14,2979038,Asia,2023,2023,2023,2023
Romania,ROU,2023,75.938,40665.527,19118433,Europe,2023,2023,2023,2023
Russia,RUS,2023,73.154,39753.457,145440454,Europe,2023,2023,2023,2023
Rwanda,RWA,2023,67.785,3060.029,13954429,Africa,2023,2023,2023,2023
Saint Kitts and Nevis,KNA,2023,72.145,30409.404,46743,North America,2023,2023,2023,2023
Saint Lucia,LCA,2023,72.697,23403.46,179241,North America,2023,2023,2023,2023
Saint Vincent and the Grenadines,VCT,2023,71.23,18335.213,101286,North America,2023,2023,2023,2023
Samoa,WSM,2023,71.698,6304.346,216630,Oceania,2023,2023,2023,2023
Sao Tome and Principe,STP,2023,69.718,5541.302,230834,Africa,2023,2023,2023,2023
Saudi Arabia,SAU,2023,78.732,55055.4,33264239,Asia,2023,2023,2023,2023
Senegal,SEN,2023,68.683,4317.2266,18077527,Africa,2023,2023,2023,2023
Serbia,SRB,2023,76.769,26030.021,6773156,Europe,2023,2023,2023,2023
Seychelles,SYC,2023,72.862,29468.951,127910,Africa,2023,2023,2023,2023
Sierra Leone,SLE,2023,61.786,3034.219,8460469,Africa,2023,2023,2023,2023
Singapore,SGP,2023,83.736,127543.555,5789037,Asia,2023,2023,2023,2023
Sint Maarten (Dutch part),SXM,2023,76.371,44894.695,42734,North America,2023,2023,2023,2023
Slovakia,SVK,2023,78.341,39290.434,5518008,Europe,2023,2023,2023,2023
Slovenia,SVN,2023,81.603,48243.94,2118353,Europe,2023,2023,2023,2023
Solomon Islands,SLB,2023,70.528,2534.0276,799964,Oceania,2023,2023,2023,2023
Somalia,SOM,2023,58.816,1402.47,18358576,Africa,2023,2023,2023,2023
South Africa,ZAF,2023,66.139,13690.39,63212339,Africa,2023,2023,2023,2023
South Korea,KOR,2023,84.329,50572.25,51748695,Asia,2023,2023,2023,2023
Spain,ESP,2023,83.67,47141.543,47911535,Europe,2023,2023,2023,2023
Sri Lanka,LKA,2023,77.483,13029.524,22971566,Asia,2023,2023,2023,2023
Sudan,SDN,2023,66.331,2469.1946,50042754,Africa,2023,2023,2023,2023
Suriname,SUR,2023,73.631,19043.705,628840,South America,2023,2023,2023,2023
Sweden,SWE,2023,83.262,63114.68,10551441,Europe,2023,2023,2023,2023
Switzerland,CHE,2023,83.954,82557.55,8870520,Europe,2023,2023,2023,2023
Tajikistan,TJK,2023,71.79,4472.324,10389764,Asia,2023,2023,2023,2023
Tanzania,TZA,2023,66.995,3620.7935,66617556,Africa,2023,2023,2023,2023
Thailand,THA,2023,76.412,21142.664,71702397,Asia,2023,2023,2023,2023
Togo,TGO,2023,62.739,2767.5166,9304289,Africa,2023,2023,2023,2023
Trinidad and Tobago,TTO,2023,73.49,31705.834,1502887,North America,2023,2023,2023,2023
Tunisia,TUN,2023,76.508,12552.986,12200387,Africa,2023,2023,2023,2023
Turkey,TUR,2023,77.156,34609.914,87270451,Asia,2023,2023,2023,2023
Turkmenistan,TKM,2023,70.073,17866.404,7364394,Asia,2023,2023,2023,2023
Turks and Caicos Islands,TCA,2023,78.008,22305.66,46171,North America,2023,2023,2023,2023
Tuvalu,TUV,2023,67.105,5812.393,9788,Oceania,2023,2023,2023,2023
Uganda,UGA,2023,68.252,2791.0557,48656550,Africa,2023,2023,2023,2023
Ukraine,UKR,2023,73.422,15885.226,37732781,Europe,2023,2023,2023,2023
United Arab Emirates,ARE,2023,82.909,68577.54,10642052,Asia,2023,2023,2023,2023
United Kingdom,GBR,2023,81.302,54542.016,68682907,Europe,2023,2023,2023,2023
United States,USA,2023,79.304,74577.51,343477286,North America,2023,2023,2023,2023
Uruguay,URY,2023,78.138,31019.31,3388029,South America,2023,2023,2023,2023
Uzbekistan,UZB,2023,72.388,10007.686,35652264,Asia,2023,2023,2023,2023
Vanuatu,VUT,2023,71.477,3118.396,320377,Oceania,2023,2023,2023,2023
Vietnam,VNM,2023,74.588,13491.88,100352143,Asia,2023,2023,2023,2023
Zambia,ZMB,2023,66.349,3673.4841,20723923,Africa,2023,2023,2023,2023
Zimbabwe,ZWE,2023,62.775,3442.2512,16340778,Africa,2023,2023,2023,2023